ws,wd
10.3,99
10.1,100
10.0,102
10.0,102
9.1,100
8.3,97
8.7,94
9.2,90
9.2,86
9.1,81
9.8,76
10.9,73
12.2,69
13.2,67
13.3,70
13.0,80
12.8,89
12.3,95
11.9,97
11.7,97
11.4,98
11.0,100
10.3,102
9.7,104
9.1,106
8.6,109
8.4,109
8.2,109
7.9,110
7.0,108
7.2,105
6.1,98
5.4,84
5.5,83
5.8,87
6.0,91
6.8,90
7.8,76
8.4,79
8.9,81
10.1,82
10.5,87
10.8,90
11.2,94
11.6,98
11.7,100
11.6,100
11.4,101
11.3,102
11.4,103
11.5,104
11.3,104
10.2,105
9.8,107
9.8,107
9.2,105
8.0,100
7.0,95
6.1,91
5.7,89
5.7,87
6.4,78
8.4,54
9.9,58
11.8,68
11.9,77
12.2,86
12.1,95
11.5,103
11.2,108
10.5,107
10.0,104
9.9,103
9.9,104
10.3,105
10.6,103
10.2,103
8.4,103
7.8,104
7.2,99
7.2,88
7.6,83
7.9,77
8.5,72
9.9,66
10.8,63
11.0,67
11.4,69
11.7,75
11.7,78
11.5,81
11.1,86
10.4,92
9.8,95
9.4,96
9.3,96
9.4,96
9.2,97
9.0,98
9.0,97
8.2,96
6.5,95
6.7,88
6.8,81
7.3,76
7.6,72
8.3,66
9.4,61
10.4,57
10.8,58
11.2,60
11.6,63
11.3,67
11.0,73
10.5,78
10.1,83
9.4,88
8.6,90
8.2,91
8.0,91
8.2,92
8.4,92
8.5,92
8.7,92
7.9,89
6.7,90
7.4,89
7.8,85
8.3,81
8.6,77
9.4,74
10.5,69
11.4,68
12.1,69
12.5,70
12.7,72
12.9,78
12.5,85
12.3,90
12.3,93
12.0,96
11.7,98
11.3,99
10.9,98
10.5,98
10.3,98
10.0,99
9.9,98
9.2,98
8.1,100
8.0,99
7.6,95
7.7,90
7.9,85
8.2,83
9.2,81
10.0,74
10.7,73
10.6,77
10.7,80
11.0,86
11.1,93
11.0,96
10.8,95
10.5,95
10.5,97
10.5,99
10.1,100
9.8,100
9.6,100
9.0,101
8.6,101
7.8,99
6.8,98
7.4,94
7.8,85
8.1,77
8.7,75
9.1,66
11.2,59
12.6,61
11.5,65
10.8,67
11.6,65
11.6,68
11.2,72
10.9,74
10.3,78
9.2,85
8.0,88
7.3,88
6.4,90
5.1,93
5.1,86
7.5,73
8.6,70
5.9,67
5.1,61
5.2,62
5.7,66
7.3,63
9.0,60
8.5,66
7.3,74
6.5,77
6.5,84
6.6,89
7.0,94
7.0,96
7.8,101
8.7,111
8.3,117
