time,price
5109,8220.64
5110,8220.64
5111,8220.64
5112,8594.01
5113,8128.79
5114,8110.55
5115,8061.04
5116,7933.61
5117,7900.58
5118,7665.48
5119,7553.03
5120,7953.64
5121,7888.82
5122,7290.34
5123,6011.16
5124,6011.16
5125,6258.86
5126,7362.68
5127,6730.22
5128,5342.64
5129,6818.78
5130,7130.49
5131,7236.16
5132,7285.05
5133,7146.42
5134,7126.94
5135,7176.45
5136,7307.18
5137,7312.53
5138,7154.57
5139,6596.53
5140,5683.90
5141,5909.83
5142,5577.57
5143,5205.44
5144,5205.44
5145,5205.44
5146,5205.44
5147,5205.44
5148,5205.44
5149,5205.44
5150,5391.51
5151,7317.62
5152,7532.66
5153,7448.40
5154,7229.14
5155,7286.05
5156,7338.21
5157,7338.21
5158,7319.81
5159,7312.53
5160,7158.16
5161,7147.23
5162,7017.65
5163,6826.36
5164,6232.03
5165,6232.03
5166,5779.92
5167,5146.96
5168,5146.96
5169,4535.23
5170,2881.79
5171,2881.79
5172,2909.13
5173,3500.45
5174,6017.59
5175,6836.94
5176,6788.42
5177,6699.90
5178,7064.70
5179,7556.29
5180,7755.34
5181,7755.34
5182,7755.34
5183,7575.09
5184,7741.51
5185,7741.51
5186,7741.51
5187,7603.55
5188,7366.31
5189,7238.98
5190,6973.57
5191,5530.60
5192,5047.46
5193,4974.79
5194,4974.79
5195,4974.79
5196,4974.79
5197,4974.79
5198,4974.79
5199,5696.44
5200,5737.68
5201,6420.19
5202,6976.92
5203,7431.61
5204,7620.11
5205,7410.41
5206,7653.22
5207,7741.51
5208,7755.58
5209,7754.19
5210,7668.35
5211,7287.38
5212,7054.38
5213,7208.31
5214,7110.72
5215,6613.39
5216,6228.64
5217,6672.45
5218,5505.97
5219,5144.63
5220,5144.63
5221,6373.44
5222,7248.27
5223,7363.77
5224,7363.77
5225,7559.32
5226,7755.58
5227,7798.27
5228,7915.67
5229,7915.67
5230,7827.62
5231,7846.30
5232,8018.07
5233,8043.10
5234,7836.83
5235,7836.83
5236,7836.83
5237,7822.65
5238,7642.52
5239,7413.29
5240,7413.29
5241,7371.86
5242,6433.04
5243,6179.13
5244,5156.65
5245,5667.89
5246,6889.33
5247,7528.93
5248,7765.95
5249,7816.75
5250,7868.51
5251,8175.06
5252,8275.47
5253,8236.41
5254,8007.68
5255,8021.07
5256,8202.10
5257,8122.76
5258,8002.19
5259,7821.33
5260,7821.33
5261,7821.33
5262,7602.95
5263,7416.57
5264,7407.69
5265,7407.69
5266,7394.40
5267,7204.17
5268,6743.13
5269,7265.25
5270,7421.01
5271,7599.76
5272,8041.26
5273,8122.76
5274,8020.83
5275,8191.76
5276,8247.18
5277,8233.38
5278,8212.84
5279,8009.50
5280,8112.63
5281,8150.32
5282,8101.04
5283,8065.84
5284,8032.32
5285,7842.36
5286,7831.23
5287,7790.98
5288,7790.98
5289,7562.03
5290,7429.48
5291,7429.48
5292,7429.48
5293,7711.62
5294,7842.36
